id,intendedMethod,comment
2ce922ba-bfe6-11ec-9d64-0242ac120002,Primary production (14C-CO2),
2ce923dc-bfe6-11ec-9d64-0242ac120002,Production,
2ce924ea-bfe6-11ec-9d64-0242ac120002,pTEP,particulate Transparent exopolymeric particles
2ce925ee-bfe6-11ec-9d64-0242ac120002,Sediment incubation,"Sample type (?) instead of ""material"""
2ce926fc-bfe6-11ec-9d64-0242ac120002,Sediment pigments,
2ce92800-bfe6-11ec-9d64-0242ac120002,Sediment porosity,
2ce92b84-bfe6-11ec-9d64-0242ac120002,Seston elemental composition, Method can be XRF
2ce92d28-bfe6-11ec-9d64-0242ac120002,Stable isotopes,
2ce92e4a-bfe6-11ec-9d64-0242ac120002,Taxonomy,
2ce92f8a-bfe6-11ec-9d64-0242ac120002,Total Mercury, Remarks can be Glass vial
2ce930f2-bfe6-11ec-9d64-0242ac120002,Total Nitrogen,
2ce93214-bfe6-11ec-9d64-0242ac120002,Total organic carbon,
2ce93340-bfe6-11ec-9d64-0242ac120002,Total thickness ice+snow,
2ce9350c-bfe6-11ec-9d64-0242ac120002,Trace elements,sampling with GO-FLO in a clean lab
2ce9380e-bfe6-11ec-9d64-0242ac120002,Viral decay,
